date,avg_value,max_value,daily_sum
2023-12-01,0.40102058823529413,0.9962352941176471,577.4696470588235
2023-12-02,0.3998191176470588,0.9984705882352942,575.7395294117647
2023-12-03,0.3850357026143791,0.9897647058823529,554.4514117647059
2023-12-04,0.3936576797385621,0.9864705882352941,566.8670588235294
2023-12-05,0.41274705882352947,0.9981176470588236,594.3557647058824
2023-12-06,0.40457892156862746,0.9988235294117648,582.5936470588235
2023-12-07,0.38223660130718956,0.999764705882353,550.420705882353
2023-12-08,0.3837829248366013,0.9885882352941177,552.6474117647059
2023-12-09,0.38176642156862745,0.9994117647058823,549.7436470588235
2023-12-10,0.4040532679738562,0.994,581.8367058823529
2023-12-11,0.4114616830065359,0.9976470588235293,592.5048235294117
2023-12-12,0.3923458333333333,0.9965882352941176,564.978
2023-12-13,0.4234283496732026,0.995764705882353,609.7368235294117
2023-12-14,0.9694117647058824,0.9694117647058824,0.9694117647058824
